Interprise,Name,Age,Since,Position,Biography,,,,,,,,,
"Activision Blizzard, Inc.","							Brian;Kelly",54,2013,                                 Chairman of the Board," 					 							Mr. Brian G. Kelly serves as Chairman of the Board of the Company. Mr. Kelly has held various positions of responsibility with Activision Blizzard since 1991, including serving as a director of the Company since July 1995, the co-chairman of our Board of Directors from October 1998 until the consummation of the Vivendi Share Repurchase Transaction (as defined herein), and as chairman of our Board of Directors since that time. Mr. Kelly has served as the Chairman of our Board since the consummation of those transactions. Mr. Kelly holds a B.A. degree in accounting from Rutgers University and a J.D. degree from Fordham University School of Law.","							Brian;Kelly",,,,,,,,
"Activision Blizzard, Inc.","							Robert;Kotick",54,2017,"                                 Chief Executive Officer, Executive Director"," 					 							Mr. Robert A. Kotick has been appointed as Chief Executive Officer, Executive Director of Activision Blizzard Inc., effective June 26, 2017. Mr. Kotick has been a director of Activision Blizzard since February 1991, following his purchase of a significant interest in the Company, which was then on the verge of insolvency. Mr. Kotick was our Chairman and Chief Executive Officer from February 1991 until July 2008, when he became our President and Chief Executive Officer in connection with the Business Combination. Mr. Kotick is also a member of the board of directors of The Coca-Cola Company, a multinational beverage corporation, and the boards of trustees for The Center for Early Education and the Harvard-Westlake School. He is also vice chairman of the board and chairman of the committee of trustees of the Los Angeles County Museum of Art. In addition, Mr. Kotick is the founder and co-chairman of the Call of Duty Endowment, a nonprofit, public benefit corporation that seeks to help organizations that provide job placement and training services for veterans.","							Robert;Kotick",,,,,,,,
"Activision Blizzard, Inc.","							Thomas;Tippl",50,2017,                                 Vice Chairman of the Board," 					 							Mr. Thomas Tippl has been appointed as Vice Chairman of the Board of Activision Blizzard Inc., effective June 26, 2017. He currently serves as Vice Chairman of the Board, Chief Operating Officer of the company. Prior to that, he served as our Chief Corporate Officer from March 2009 until March 2010. In addition, Mr. Tippl served as our Chief Financial Officer from July 2008 until February 2012. Mr. Tippl joined the Company as the Chief Financial Officer of Activision in October 2005. Prior to joining the Company, Mr. Tippl served as the head of investor relations and shareholder services at The Procter & Gamble Company, a manufacturer of consumer goods products, from 2004 to 2005. Mr. Tippl also served as the finance director of Procter & Gamble's Baby Care Europe division, and as a member of the board of directors of the joint venture between Procter & Gamble and Fater in Italy from 2001 to 2003. Mr. Tippl co-founded Procter & Gamble's Equity Venture Fund in 1999 and also served as the associate director of acquisitions and divestitures for Procter & Gamble from 1999 to 2001. Prior to 1999, Mr. Tippl served in various financial executive positions for Procter & Gamble in Europe, China and Japan. Mr. Tippl holds a master's degree in economics and social sciences from the Vienna University of Economics and Business Administration.","							Thomas;Tippl",,,,,,,,
"Activision Blizzard, Inc.","							Spencer;Neumann",47,2017,                                 Chief Financial Officer," 					 							Mr. Spencer Neumann has been appointed as Chief Financial Officer of the Company., effective May 30, 2017. He served as Chief Financial Officer and Executive Vice President, Global Guest Experience of Walt Disney Parks and Resorts, a division of The Walt Disney Company, a diversified worldwide entertainment company, from March 2012 until May 2017. Previously, he held several other roles with The Walt Disney Company, which he initially joined in 1992, including Executive Vice President, ABC Television Network (2001 to 2004); Chief Financial Officer, the Walt Disney Internet Group (1999 to 2001); and Vice President, Head of Business Operations, Anaheim Sports, Inc. (1997 to 1999). He was also a member of Disney’s Strategic Planning and Development group from 1992 to 1995. From 2005 until rejoining Disney in 2012, Mr. Neumann worked at the private equity firms of Providence Equity Partners and Summit Partners.","							Spencer;Neumann",,,,,,,,
"Activision Blizzard, Inc.","							Eric;Hirshberg",48,2010,                                 Chief Executive Officer of Activision Publishing Inc.," 					 							Mr. Eric Hirshberg serves as Chief Executive Officer of Activision Publishing Inc., a subsidiary of Activision Blizzard, Inc. Prior to joining us, Mr. Hirshberg served in positions of increasing responsibility with Deutsch LA, a marketing and advertising agency, most recently serving as its co-chief executive officer and its chief creative officer. Prior to working at Deutsch LA, Mr. Hirshberg worked at Fattal & Collins, a marketing and advertising agency. Mr. Hirshberg holds a B.F.A. degree from the University of California at Los Angeles.","							Eric;Hirshberg",,,,,,,,
"Activision Blizzard, Inc.","							Michael;Morhaime",49,2008,"                                 President and Chief Executive Officer of Blizzard Entertainment, Inc."," 					 							Mr. Michael Morhaime serves as President and Chief Executive Officer of Blizzard Entertainment, Inc., a subsidiary of Activision Blizzard, Inc. He became Chief Executive Officer of Blizzard Entertainment, Inc. (“Blizzard Entertainment”) and an executive officer of Activision Blizzard in July 2008 in connection with the Vivendi Games Combination. In February 1991, Mr. Morhaime co-founded Blizzard in February 1991, and transitioned to the role of Blizzard's President in April 1998. Mr. Morhaime served on the executive committee of Vivendi Games from January 1999, when Blizzard became a subsidiary of Vivendi Games, until the consummation of the Business Combination, when Blizzard became a subsidiary of the Company. Mr. Morhaime holds a B.S. degree in electrical engineering from the University of California at Los Angeles.","							Michael;Morhaime",,,,,,,,
"Activision Blizzard, Inc.","							Riccardo;Zacconi",48,2016,                                 Chief Executive Officer of King Digital Entertainment Limited," 					 							Mr. Riccardo Zacconi is Chief Executive Officer of King Digital Entertainment Limited (“King”) , a subsidiary of he company. He became an executive officer of Activision Blizzard in February 2016 in connection with the King Acquisition. Mr. Zacconi co-founded King in March 2003, and has served as its chief executive officer since its founding. Prior to founding King, Mr. Zacconi served as vice president of European sales and marketing at uDate.com, an online dating service, from 2002 until that company's acquisition later that year. From 2001 to 2002, Mr. Zacconi served as entrepreneur in residence at Benchmark Capital Partners, a venture capital firm. Prior to joining Benchmark Capital, he was managing director for Spray Network, an online messaging portal based in Hamburg, Germany, from 1999 until its sale in 2000. Prior to 1999, Mr. Zacconi served in various investment and consulting positions of increasing responsibility with The Boston Consulting Group and LEK Consulting, both of which are management consulting firms. Mr. Zacconi holds a B.A. degree in economics from LUISS University in Italy.","							Riccardo;Zacconi",,,,,,,,
"Activision Blizzard, Inc.","							Dennis;Durkin",46,2017,                                 Chief Corporate Officer," 					 							Mr. Dennis Durkin has been appointed as Chief Corporate Officer of the Company., effective May 30, 2017. He currently serves as Chief Financial Officer of Activision Blizzard Inc. Prior to joining the Company, Mr. Durkin held a number of positions of increasing responsibility at Microsoft Corporation, a computing hardware and software manufacturer, most recently serving as the corporate vice president and chief operating and financial officer of Microsoft Corporation's interactive entertainment business, which included the Xbox console business. Prior to joining Microsoft Corporation's interactive entertainment business in 2006, Mr. Durkin worked on Microsoft Corporation's corporate development and strategy team, including two years where he was based in London, England, driving pan-European activity. Before joining Microsoft Corporation, Mr. Durkin was a financial analyst at Alex. Brown and Company. Mr. Durkin holds a B.A. degree in government from Dartmouth College and an M.B.A. degree from Harvard University.","							Dennis;Durkin",,,,,,,,
"Activision Blizzard, Inc.","							Brian;Stolz",41,2016,                                 Chief People Officer of Activision Blizzard," 					 							Mr. Brian M. Stolz is Chief People Officer of the Company. Prior to joining the Company, Mr. Stolz served as senior vice president of the neurology, dental, and generics businesses of Valeant Pharmaceuticals, a pharmaceutical company. Before that, Mr. Stolz served as Valeant's executive vice president of administration and its chief human capital officer. Prior to joining Valeant, Mr. Stolz held positions as a principal at ghSMART, a leadership consulting and advisory firm, and as an associate principal at McKinsey & Co., a strategy consulting firm. Mr. Stolz holds a B.S. degree in finance from Georgetown University and an M.B.A. degree from Harvard University.","							Brian;Stolz",,,,,,,,
"Activision Blizzard, Inc.","							Christopher;Walther",50,2011,                                 Chief Legal Officer," 					 							Mr. Christopher B. Walther serves as Chief Legal Officer of Activision Blizzard Inc. He became Chief Legal Officer in November 2009 and served as our Secretary from February 2010 until February 2011. Prior to joining us, Mr. Walther held a number of positions of increasing responsibility within the legal department of The Procter & Gamble Company from 1992 to 2009, including serving as the general counsel for Central and Eastern Europe, Middle East and Africa, general counsel for Northeast Asia and, most recently, as general counsel for Western Europe. Mr. Walther also led Procter & Gamble's corporate and securities and mergers and acquisitions practices. Before joining Procter & Gamble, Mr. Walther served as a law clerk for Senior Judge Harry W. Wellford of the United States Sixth Circuit Court of Appeals. Since 2012, Mr. Walther has served on the board of directors of the Alliance for Children's Rights. Mr. Walther has also served as our representative on the board of directors of the Entertainment Software Association since 2013. Mr. Walther holds a B.A. degree in history and Spanish from Centre College and a J.D. degree from the University of Kentucky College of Law.","							Christopher;Walther",,,,,,,,
"Activision Blizzard, Inc.","							Robert;Corti",67,2003,                                 Independent Director," 					 							Mr. Robert J. Corti serves as an Independent Director of Activision Blizzard Inc. Mr. Corti worked at Avon Products, a global manufacturer and marketer of beauty and related products, for more than 25 years. He joined Avon Products’ tax department as a tax associate in 1976 and held positions of increasing responsibility in the company’s finance department throughout his tenure there, including serving as an executive vice president and the chief financial officer of Avon Products from 1998 until he retired from the chief financial officer role in November 2005 and as an executive vice president in March 2006. Unique perspective of having helped to guide a large public company with international operations through the changing economic and competitive landscape for over two and a half decades, gained from having served Avon for more than 25 years and working his way up to increasingly senior roles within that organization. Mr. Corti is B.A. in accounting from Queens College and M.B.A. in taxation from St. John’s University.","							Robert;Corti",,,,,,,,
